name,position,prediction_season,predicted_goals_per_match,actual_goals_per_match
Domagoj  Duvnjak ,Middle Back,2014/2015,4.252768829861377,3.8285714285714287
Domagoj  Duvnjak ,Middle Back,2015/2016,3.5384656861165302,5.032258064516129
Domagoj  Duvnjak ,Middle Back,2016/2017,4.198138680727562,4.130434782608695
Domagoj  Duvnjak ,Middle Back,2017/2018,3.5855365112510724,1.6470588235294117
Torsten  Jansen ,Left Wing,2012/2013,2.120817515266078,1.0
Torsten  Jansen ,Left Wing,2013/2014,1.6069995859633477,2.0
Torsten  Jansen ,Left Wing,2014/2015,1.8781458668237623,1.6206896551724137
Torsten  Jansen ,Left Wing,2015/2016,1.8884822003672324,0.0
Blaženko Lacković,Left Back,2012/2013,2.672890426351007,1.92
Blaženko Lacković,Left Back,2013/2014,1.9994024653621891,0.9
Matthias  Flohr ,Left Wing,2012/2013,1.8564232110397931,0.90625
Matthias  Flohr ,Left Wing,2013/2014,1.284123213049418,0.7575757575757576
Matthias  Flohr ,Left Wing,2014/2015,1.3240290962121883,1.1111111111111112
Matthias  Flohr ,Left Wing,2015/2016,1.655783613182092,1.5714285714285714
Matthias  Flohr ,Left Wing,2016/2017,1.7416210711377633,1.2647058823529411
Matthias  Flohr ,Left Wing,2017/2018,1.8477514720162307,0.7222222222222222
Igor  Vori ,Line Player,2012/2013,2.6290603521871287,3.28125
Igor  Vori ,Line Player,2013/2014,2.7597545857785124,2.230769230769231
Igor  Vori ,Line Player,2014/2015,2.1928631133085497,2.04
Igor  Vori ,Line Player,2015/2016,2.00661512696939,2.125
Bertrand  Gille ,Line Player,2012/2013,1.8564232110397931,2.142857142857143
Bertrand  Gille ,Line Player,2013/2014,2.0887585259386388,1.9444444444444444
Bertrand  Gille ,Line Player,2014/2015,2.00661512696939,1.15
Guillaume  Gille ,Middle Back,2012/2013,1.1859678461964935,1.6
Guillaume  Gille ,Middle Back,2013/2014,1.7416210711377633,1.2
Hans  Lindberg ,Right Wing,2012/2013,5.908860336505706,7.34375
Hans  Lindberg ,Right Wing,2013/2014,5.908860336505706,7.521739130434782
Hans  Lindberg ,Right Wing,2014/2015,5.908860336505706,6.846153846153846
Hans  Lindberg ,Right Wing,2015/2016,5.908860336505706,6.08
Hans  Lindberg ,Right Wing,2016/2017,5.081357834244069,5.185185185185185
Hans  Lindberg ,Right Wing,2017/2018,4.553249725648012,5.121212121212121
Marcin  Lijewski ,Right Back,2012/2013,2.8384238022661172,3.2
Pascal  Hens,Left Back,2012/2013,2.796428733307075,3.0714285714285716
Pascal  Hens,Left Back,2013/2014,2.716649718622526,2.4642857142857144
Pascal  Hens,Left Back,2014/2015,2.3112840605001135,2.4571428571428573
Pascal  Hens,Left Back,2015/2016,2.3112840605001135,2.4
Pascal  Hens,Left Back,2016/2017,2.281910597619748,1.1176470588235294
Marcel  Schliederman,Middle Back,2012/2013,1.0013059720371513,0.0
Christian  Rompf ,Left Wing,2012/2013,1.523627618385974,0.5483870967741935
Christian  Rompf ,Left Wing,2013/2014,1.0154115200397014,2.347826086956522
